Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
Alineacion-Segmento6,363,8.53103,-83.5687,3/5/2016,4/5/2016
CS20,386,8.57753,-83.6191,4/19/2016,6/12/2016
Espavales,367,8.48504,-83.58701,3/6/2016,4/6/2016
Espavales,609,8.48504,-83.58701,3/6/2016,4/6/2016
Jaguar Taco,368,8.50201,-83.62276,3/6/2016,4/17/2016
Laguna Corcovado Bajura,387,8.57394,-83.60062,4/19/2016,5/12/2016
Laguna Corcovado Bajura,616,8.57394,-83.60062,4/19/2016,5/5/2016
Laguna Sirena,316,8.561,-83.5766,3/15/2016,4/9/2016
Laguna Sirena,611,8.561,-83.5766,3/15/2016,4/9/2016
Latas,366,8.540973,-83.55242,3/5/2016,4/5/2016
Latas,607,8.540973,-83.55242,3/5/2016,4/5/2016
Llorito-Bajura,384,8.58701,-83.66182,4/18/2016,6/10/2016
Llorito-Bajura,615,8.58701,-83.66182,4/18/2016,6/10/2016
Llorona Laguna,379,8.53735,-83.66008,4/17/2016,6/10/2016
Llorona Laguna,612,8.53735,-83.66008,4/17/2016,6/10/2016
Los Primates,312,8.455651,-83.577958,3/9/2016,4/6/2016
OWA,314,8.508287,-83.604949,3/8/2016,4/10/2016
OWA,610,8.508287,-83.604949,3/8/2016,4/10/2016
Piedra el Arco,381,8.58172,-83.702,4/18/2016,5/22/2016
Playa Corcovado,377,8.51667,-83.64112,4/17/2016,6/10/2016
Playa Corcovado,605,8.51667,-83.64112,4/17/2016,6/10/2016
Playa Llorona,380,8.55453,-83.67866,4/17/2016,6/10/2016
Rio Cedral-Segmento2,365,8.5581,-83.53185,3/5/2016,4/5/2016
Rio Corcovado Bajura,385,8.585267,-83.64349,4/18/2016,5/13/2016
Rio Llorona,382,8.58233,-83.67885,4/18/2016,6/13/2016
Rio Llorona,613,8.58233,-83.67885,4/18/2016,4/29/2016
Rio Pavo,364,8.51583,-83.58957,3/5/2016,4/5/2016
Rio Pavo,608,8.51583,-83.58957,3/5/2016,4/5/2016
Sendero Azules a OWA,311,8.5345,-83.5866,3/15/2016,4/9/2016
Sendero Corcovado,517,8.47916,-83.5775,3/7/2016,4/6/2016
Triangulo,383,8.56939,-83.65897,4/20/2016,6/11/2016
Triangulo,614,8.56939,-83.65897,4/20/2016,6/11/2016
