Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
Almost Bonanza,49,8.528736,-83.454571,3/4/2019,6/9/2019
Almost Bonanza,50,8.528736,-83.454571,3/4/2019,6/9/2019
Banadero-Planes,21,8.635526,-83.626252,1/29/2019,4/15/2019
Banadero-Planes,59,8.635526,-83.626252,4/15/2019,6/12/2019
Banadero-Planes,60,8.635526,-83.626252,6/12/2019,7/9/2019
Banadero-Planes,61,8.635526,-83.626252,8/18/2019,9/9/2019
Banadero-Planes,62,8.635526,-83.626252,8/18/2019,10/12/2019
Banadero-Planes,63,8.635526,-83.626252,8/19/2019,10/14/2019
Banadero-Planes,64,8.635526,-83.626252,10/12/2019,10/28/2019
Cabecera Rio Pavon,65,8.575893,-83.528822,4/17/2019,6/6/2019
Cabecera Rio Pavon,66,8.575893,-83.528822,6/6/2019,9/12/2019
Cabecera Rio Pavon,67,8.575893,-83.528822,9/12/2019,11/7/2019
Cabecera Rio Pavon,68,8.575893,-83.528822,11/7/2019,11/30/2019
Cabecera Rio Pavon,100,8.575893,-83.528822,1/27/2019,4/17/2019
Latas,7,8.540973,-83.55242,1/26/2019,3/12/2019
Latas,8,8.540973,-83.55242,3/12/2019,6/1/2019
Latas,78,8.540973,-83.55242,7/3/2019,8/25/2019
Latas,79,8.540973,-83.55242,8/25/2019,9/11/2019
Latas,80,8.540973,-83.55242,9/12/2019,11/3/2019
Los Primates,91,8.455651,-83.577958,4/8/2019,5/29/2019
Los Primates,92,8.455651,-83.577958,4/8/2019,5/29/2019
Los Primates,94,8.455651,-83.577958,10/31/2019,12/2/2019
Los Primates,103,8.455651,-83.577958,1/24/2019,4/8/2019
OWA,19,8.508287,-83.604949,1/25/2019,3/28/2019
OWA,20,8.508287,-83.604949,3/28/2019,5/31/2019
OWA,112,8.508287,-83.604949,8/24/2019,11/2/2019
OWA,113,8.508287,-83.604949,11/2/2019,12/2/2019
OWA 2,111,8.505979,-83.602299,7/11/2019,11/2/2019
Ollas,28,8.491815,-83.573503,3/27/2019,5/30/2019
Ollas,29,8.491815,-83.573503,7/11/2019,8/23/2019
Ollas,96,8.491815,-83.573503,8/23/2019,10/8/2019
Ollas,97,8.491815,-83.573503,11/2/2019,12/2/2019
Ollas,101,8.491815,-83.573503,1/25/2019,3/31/2019
Ollas,105,8.491815,-83.573503,10/9/2019,11/2/2019
Ollas,109,8.491815,-83.573503,8/23/2019,11/1/2019
Quebrada Murcielago,522,8.5819,-83.6735,1/21/2019,3/25/2019
Quebrada Murcielago,523,8.5819,-83.6735,7/17/2019,10/9/2019
Quebrada Murcielago,524,8.5819,-83.6735,4/13/2019,6/1/2019
Quebrada Murcielago,525,8.5819,-83.6735,6/1/2019,7/17/2019
Quebrada Murcielago,526,8.5819,-83.6735,1/23/2019,3/24/2019
Quebrada Murcielago,527,8.5819,-83.6735,4/13/2019,7/17/2019
Rio Corcovado-Bajura,30,8.585267,-83.64349,1/21/2019,4/13/2019
Rio Corcovado-Bajura,102,8.585267,-83.64349,7/17/2019,8/31/2019
Rio Corcovado-Bajura,106,8.585267,-83.64349,4/13/2019,7/17/2019
Rio Pavo,74,8.521935,-83.58179,1/26/2019,3/26/2019
Rio Pavo,75,8.521935,-83.58179,3/26/2019,4/3/2019
Rio Pavo,76,8.521935,-83.58179,7/5/2019,8/26/2019
Rio Pavo,77,8.521935,-83.58179,8/26/2019,9/15/2019
Rio Pavo,95,8.521935,-83.58179,4/3/2019,6/1/2019
Termo,3,8.5683,-83.514,1/17/2019,4/3/2019
Termo,4,8.5683,-83.514,4/3/2019,6/1/2019
Termo,43,8.5683,-83.514,6/15/2019,8/26/2019
Termo,47,8.5683,-83.514,8/26/2019,9/11/2019
Termo,48,8.5683,-83.514,9/11/2019,11/7/2019
Termo,81,8.5683,-83.514,11/7/2019,11/27/2019
Ticho-Planes,5,8.6244,-83.6778,1/29/2019,4/15/2019
Ticho-Planes,6,8.6244,-83.6778,4/15/2019,6/13/2019
Ticho-Planes,42,8.6244,-83.6778,6/13/2019,8/19/2019
Ticho-Planes,70,8.6244,-83.6778,8/19/2019,10/14/2019
