Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
Aleta West,478,8.640673,-83.657758,7/22/2021,8/20/2021
Aleta West,500,8.640673,-83.657758,5/20/2021,7/22/2021
Aleta West,593,8.640673,-83.657758,7/21/2021,8/20/2021
Aleta West,594,8.640673,-83.657758,5/21/2021,7/21/2021
AlineacionSegmento6,409,8.53073,-83.5691,1/30/2021,3/13/2021
Banadero Bonanza,568,8.5249,-83.4392,11/16/2021,12/14/2021
Banadero-Planes,543,8.635526,-83.626252,9/19/2021,10/23/2021
Banadero-Planes,544,8.635526,-83.626252,7/22/2021,9/19/2021
Banadero-Planes,545,8.635526,-83.626252,10/23/2021,12/22/2021
Banadero-Planes,564,8.635526,-83.626252,5/20/2021,7/22/2021
Bonanza,499,8.5292,-83.4411,4/7/2021,7/11/2021
Bonanza,537,8.5292,-83.4411,9/10/2021,10/7/2021
Bonanza,539,8.5292,-83.4411,11/16/2021,12/14/2021
Bonanza,590,8.5292,-83.4411,7/11/2021,9/10/2021
Cerro Dantas,552,8.65018,-83.55908,8/21/2021,12/2/2021
Cerro Rincon 2,591,8.5281,-83.463,7/11/2021,9/10/2021
Cerro Rincon 2,592,8.5281,-83.463,4/7/2021,7/11/2021
Ciebita,534,8.55251,-83.56761,1/29/2021,4/4/2021
Espavales,504,8.4855,-83.5916,2/3/2021,2/13/2021
Espavales,414,8.4855,-83.5916,1/11/2021,2/5/2021
Espavales,415,8.4855,-83.5916,2/5/2021,3/4/2021
Jaguar Taco,547,8.50201,-83.62276,9/26/2021,10/19/2021
Jaguar Taco,548,8.50201,-83.62276,10/19/2021,11/9/2021
Jaguar Taco,556,8.50201,-83.62276,2/4/2021,3/11/2021
Jaguar Taco,560,8.50201,-83.62276,2/4/2021,3/11/2021
Jaguar Taco,570,8.50201,-83.62276,5/23/2021,9/26/2021
Laguna Tortuga,598,8.508,-83.6295,3/30/2021,5/18/2021
Latas,392,8.540973,-83.55242,1/15/2021,1/29/2021
Latas,393,8.540973,-83.55242,1/29/2021,3/12/2021
Llorona,536,8.5678,-83.6913,2/11/2021,4/1/2021
Llorona Laguna,405,8.53325,-83.65627,2/10/2021,4/1/2021
Los Primates,390,8.455651,-83.577958,1/13/2021,2/28/2021
Los Primates,391,8.455651,-83.577958,2/28/2021,3/29/2021
Madigral,417,8.44904,-83.5083,2/1/2021,2/28/2021
Marenco-Sirena,474,8.506646,-83.591326,6/23/2021,6/30/2021
Marenco-Sirena,558,8.506646,-83.591326,6/23/2021,6/30/2021
OWA,389,8.508287,-83.604949,1/11/2021,2/2/2021
OWA,479,8.508287,-83.604949,3/11/2021,5/22/2021
OWA,498,8.508287,-83.604949,3/11/2021,5/22/2021
OWA,589,8.508287,-83.604949,5/22/2021,6/3/2021
Ollas,388,8.491815,-83.573503,1/11/2021,2/5/2021
Ollas,485,8.491815,-83.573503,3/11/2021,4/22/2021
Ollas,486,8.491815,-83.573503,4/23/2021,6/19/2021
Ollas,487,8.491815,-83.573503,4/23/2021,5/6/2021
Ollas,502,8.491815,-83.573503,6/19/2021,8/12/2021
Ollas,503,8.491815,-83.573503,1/11/2021,2/5/2021
Ollas,541,8.491815,-83.573503,8/12/2021,9/25/2021
Ollas,542,8.491815,-83.573503,9/25/2021,10/19/2021
Ollas,561,8.491815,-83.573503,2/5/2021,3/9/2021
Ollas,563,8.491815,-83.573503,4/23/2021,5/6/2021
Playa Corcovado,535,8.51667,-83.64112,1/13/2021,2/5/2021
Playa Corcovado,565,8.51667,-83.64112,3/31/2021,5/17/2021
Playa Corcovado,587,8.51667,-83.64112,2/6/2021,3/3/2021
Playa Corcovado,588,8.51667,-83.64112,3/10/2021,3/31/2021
Playa Llorona 2,403,8.54985,-83.6728,2/10/2021,4/1/2021
Punta Llorona,396,8.59131,-83.72064,2/11/2021,4/3/2021
Punta Llorona,468,8.59131,-83.72064,4/3/2021,4/29/2021
Punta la Chancha,493,8.44147,-83.54594,1/12/2021,2/28/2021
Punta la Chancha,494,8.44147,-83.54594,1/9/2021,3/10/2021
Quebrada Murcielago,532,8.5819,-83.6735,4/2/2021,5/1/2021
Quebrado Termo,554,8.55483,-83.50421,1/28/2021,6/30/2021
Rio Cedral-Segmento2,395,8.55371,-83.53477,1/29/2021,3/13/2021
Rio Llorona,579,8.58233,-83.67885,7/18/2021,10/10/2021
Rio Pavo,407,8.521935,-83.58179,1/12/2021,1/30/2021
Rio Pavo,408,8.521935,-83.58179,1/30/2021,3/13/2021
Sendero Corcovado,411,8.47916,-83.5775,1/10/2021,2/4/2021
Sendero Corcovado,412,8.47916,-83.5775,2/4/2021,3/3/2021
Sendero Jaguar,488,8.493275,-83.603239,3/12/2021,4/11/2021
Sendero Jaguar,489,8.493275,-83.603239,4/23/2021,5/22/2021
Sendero Jaguar,557,8.493275,-83.603239,2/3/2021,3/10/2021
Sendero Jaguar,595,8.493275,-83.603239,3/12/2021,3/31/2021
Sendero Jaguar,596,8.493275,-83.603239,3/7/2021,3/10/2021
Sendero Marcos Reyes,555,8.62575,-83.73186,2/10/2021,4/2/2021
Termo,394,8.5683,-83.514,1/27/2021,3/13/2021
Triangulo,531,8.56939,-83.65897,4/30/2021,7/18/2021
Triangulo,566,8.56939,-83.65897,4/29/2021,7/17/2021
Valle de Los Pumas,497,8.44441,-83.56659,10/20/2021,11/4/2021
Valle de Los Pumas,540,8.44441,-83.56659,8/17/2021,10/20/2021
