Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
Acerca de Quebrada Hedionda,303,8.4469,-83.5279,3/10/2017,3/27/2017
Bananales,519,8.5034,-83.5536,3/23/2017,4/21/2017
Bonanza,286,8.5292,-83.4411,3/16/2017,4/24/2017
CS20,575,8.57753,-83.6191,6/11/2017,8/2/2017
Cerro Rincon 1,518,8.5197,-83.4652,3/16/2017,4/29/2017
Latas,211,8.540973,-83.55242,3/5/2017,5/4/2017
Llorito-Bajura,288,8.582029,-83.673582,6/10/2017,6/13/2017
Llorona,307,8.5678,-83.6913,4/14/2017,5/13/2017
Los Primates,194,8.455651,-83.577958,3/7/2017,5/10/2017
Madigral,305,8.4487,-83.5078,3/27/2017,5/8/2017
OWA,193,8.508287,-83.604949,3/6/2017,3/24/2017
Ollas,195,8.491815,-83.573503,3/9/2017,5/12/2017
Quebrada la Chancha,301,8.4404,-83.5453,3/27/2017,4/1/2017
Termo,285,8.5683,-83.514,3/5/2017,3/31/2017
Ticho-Planes,196,8.6244,-83.6778,7/16/2017,10/9/2017
