Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
Banadero-Planes,156,8.635526,-83.626252,5/10/2018,7/13/2018
Banadero-Planes,157,8.635526,-83.626252,5/11/2018,7/13/2018
Bonanza,119,8.5292,-83.4411,2/15/2018,6/29/2018
Bonanza,120,8.5292,-83.4411,3/15/2018,6/29/2018
Cabecera Rio Pavon,117,8.575893,-83.528822,5/6/2018,7/2/2018
Cerro Rincon 2,520,8.5281,-83.463,3/17/2018,5/2/2018
Ciebita,574,8.55251,-83.56761,5/7/2018,7/3/2018
Espavales,141,8.4855,-83.5916,2/15/2018,4/6/2018
Espavales,142,8.4855,-83.5916,2/15/2018,4/6/2018
Fila Conchal,521,8.5147,-83.563,3/12/2018,3/20/2018
Latas,143,8.540973,-83.55242,3/6/2018,4/8/2018
Latas,145,8.540973,-83.55242,2/19/2018,3/6/2018
Latas,146,8.540973,-83.55242,2/15/2018,4/7/2018
Latas,147,8.540973,-83.55242,2/15/2018,3/6/2018
Llorito-Bajura,172,8.582029,-83.673582,5/14/2018,7/10/2018
Llorito-Bajura,173,8.582029,-83.673582,5/14/2018,7/10/2018
Los Primates,151,8.455651,-83.577958,2/18/2018,3/9/2018
Los Primates,152,8.455651,-83.577958,3/9/2018,4/6/2018
Los Primates,159,8.455651,-83.577958,2/18/2018,3/9/2018
Los Primates,160,8.455651,-83.577958,3/9/2018,4/8/2018
OWA,167,8.508287,-83.604949,3/7/2018,4/10/2018
OWA,174,8.508287,-83.604949,2/22/2018,3/7/2018
OWA,255,8.508287,-83.604949,3/18/2018,4/8/2018
OWA,256,8.508287,-83.604949,2/22/2018,3/8/2018
OWA,257,8.508287,-83.604949,3/13/2018,3/17/2018
Ollas,175,8.491815,-83.573503,3/8/2018,4/10/2018
Rio Corcovado-Bajura,158,8.585267,-83.64349,5/14/2018,7/10/2018
Rio Corcovado-Bajura,162,8.585267,-83.64349,5/14/2018,7/11/2018
Rio Pavo,148,8.521935,-83.58179,3/7/2018,4/8/2018
Rio Pavo,149,8.521935,-83.58179,3/9/2018,3/15/2018
Rio Pavo,150,8.521935,-83.58179,6/10/2018,6/13/2018
Sendero Corcovado,154,8.4842,-83.580932,2/18/2018,4/10/2018
Termo,114,8.5683,-83.514,3/5/2018,5/5/2018
Ticho-Planes,139,8.6244,-83.6778,5/9/2018,7/8/2018
Ticho-Planes,140,8.6244,-83.6778,5/12/2018,7/8/2018
