"","median","ci_low","ci_high"
"psi.50%",0.134455037571178,0.0480485119735541,0.258488633391473
"gamma.50%",0.0530048989674015,0.0184285734948881,0.108028100276453
"phi.50%",0.886799983000315,0.706341339036153,0.987779957923617
"p0.50%",0.0278371258769255,0.0189695125508269,0.042583524143521
"alpha1.50%",1.33036395447179,0.797548506404271,2.10798376858877
"beta_env.50%",0.731372020853786,0.0634748168563934,1.21143602015158
