"","median","ci_low","ci_high"
"psi.50%",0.0947468063242304,0.031704886634564,0.213259411932893
"gamma.50%",0.0502336114978887,0.0198114473657069,0.100017243861063
"phi.50%",0.890437970701323,0.692463079656184,0.984627721720026
"p0.50%",0.0299338165725147,0.0195992968530669,0.0470613860714257
"alpha1.50%",1.32730407296863,0.682202925500339,2.16524993807016
"beta_env.50%",0.620402704616925,-0.226696134770364,1.17193002149797
