Trap.Station.Latitude,Trap.Station.Longitude,Date.Time,StationName,Individual.ID,Sex,Beach
10.80369,-85.68534,10/27/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,10/31/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,11/02/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,11/17/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,11/19/2022,AMSTAR,Amanda,Female,Naranjo
10.80762,-85.70203,02/26/2022,GIUL,Amanda,Female,Nancite
10.80762,-85.70203,03/01/2022,GIUL,Amanda,Female,Nancite
10.80371,-85.69659,02/06/2022,CALU,Amanda,Female,Nancite
10.80762,-85.70203,02/25/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,03/07/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,03/08/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,04/07/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,07/08/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,12/27/2022,JAEM,Amanda,Female,Nancite
10.80168,-85.69473,05/07/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,05/17/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/02/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/03/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,07/19/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,07/25/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,08/20/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,09/16/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,10/01/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,10/07/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,10/09/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,10/13/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/05/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/06/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/16/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/21/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/25/2022,JEUC,Amanda,Female,Nancite
10.80762,-85.70203,09/17/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,10/28/2022,JAEM,Amanda,Female,Nancite
10.80762,-85.70203,12/09/2022,JAEM,Amanda,Female,Nancite
10.80371,-85.69659,02/10/2022,CALU,Amanda,Female,Nancite
10.80371,-85.69659,07/11/2022,CALU,Amanda,Female,Nancite
10.80369,-85.68534,05/22/2022,AMSTAR,Amanda,Female,Naranjo
10.80762,-85.70203,01/27/2022,LUCI,Amanda,Female,Nancite
10.80762,-85.70203,03/10/2022,LUCI,Amanda,Female,Nancite
10.81126,-85.70466,02/14/2022,LUDI,Amanda,Female,Tule
10.80371,-85.69659,03/17/2022,CALU,Amanda,Female,Nancite
10.80371,-85.69659,11/23/2022,CALU,Amanda,Female,Nancite
10.76491,-85.65644,01/15/2022,CREW,Amanda,Female,Naranjo
10.76491,-85.65644,01/19/2022,CREW,Amanda,Female,Naranjo
10.80369,-85.68534,07/14/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,11/22/2022,AMSTAR,Amanda,Female,Naranjo
10.80371,-85.69659,04/04/2022,CALU,Amanda,Female,Nancite
10.80371,-85.69659,05/13/2022,CALU,Amanda,Female,Nancite
10.80371,-85.69659,07/17/2022,CALU,Amanda,Female,Nancite
10.80168,-85.69473,03/29/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,04/12/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,04/13/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,05/30/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/06/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/12/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/20/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/21/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/23/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/29/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,06/30/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,07/16/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,09/20/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/08/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,11/24/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,12/15/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,12/25/2022,JEUC,Amanda,Female,Nancite
10.80168,-85.69473,12/30/2022,JEUC,Amanda,Female,Nancite
10.80371,-85.69659,04/24/2022,CALU,Amanda,Female,Nancite
10.80371,-85.69659,09/23/2022,CALU,Amanda,Female,Nancite
10.80369,-85.68534,02/16/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,04/01/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,05/20/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,05/21/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,09/02/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,09/07/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,09/19/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,10/23/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,11/03/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,11/29/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,12/14/2022,AMSTAR,Amanda,Female,Naranjo
10.80369,-85.68534,12/17/2022,AMSTAR,Amanda,Female,Naranjo
